level; exp
1; 100
2; 200
3; 300
4; 500
5; 800
6; 1200
7; 1700
8; 2300
9; 3000
10; 3800
11; 4700
12; 5700
13; 6800
14; 8000
15; 9300
16; 10700
17; 12200
18; 13800
19; 15500
20; 17300
21; 19200
22; 21200
23; 23300
24; 25500
25; 27800
26; 30200
27; 32700
28; 35300
29; 38000
30; 40800
31; 43700
32; 46700
33; 49800
34; 53000
35; 56300
36; 59700
37; 63200
38; 66800
39; 70500
40; 74300
41; 78200
42; 82200
43; 86300
44; 90500
45; 94800
46; 99200
47; 103700
48; 108300
49; 113000
50; 117800
51; 122700
52; 127700
53; 132800
54; 138000
55; 143300
56; 148700
57; 154200
58; 159800
59; 165500
60; 171300
61; 177200
62; 183200
63; 189300
64; 195500
65; 201800
66; 208200
67; 214700
68; 221300
69; 228000
70; 234800
71; 241700
72; 248700
73; 255800
74; 263000
75; 270300
76; 277700
77; 285200
78; 292800
79; 300500
80; 308300
81; 316200
82; 324200
83; 332300
84; 340500
85; 348800
86; 357200
87; 365700
88; 374300
89; 383000
90; 391800
91; 400700
92; 409700
93; 418800
94; 428000
95; 437300
96; 446700
97; 456200
98; 465800
99; 475500
